Index,Date,Home Team,Away Team,Win or Loss for Celtics,Win or Loss for Warriors,Celtics score,Warriors score,Streak
132,12-Mar-68,Warriors,Celtics,W,L,124,121,Celtics won 2
133,28-Feb-68,Celtics,Warriors,W,L,135,110,Celtics won 1
134,23-Feb-68,Warriors,Celtics,L,W,122,127,Warriors won 1
135,15-Jan-68,Celtics,Warriors,W,L,111,102,Celtics won 1
136,6-Jan-68,Warriors,Celtics,L,W,101,107,Warriors won 2
137,26-Dec-67,Celtics,Warriors,L,W,104,117,Warriors won 1
138,15-Nov-67,Celtics,Warriors,W,L,113,110,Celtics won 2
139,1-Mar-67,Celtics,Warriors,W,L,137,125,Celtics won 1
140,18-Feb-67,None,None,L,W,124,130,Warriors won 2
141,14-Feb-67,None,None,L,W,122,128,Warriors won 1
142,10-Feb-67,Celtics,Warriors,W,L,137,136,Celtics won 2
143,30-Jan-67,None,None,W,L,121,108,Celtics won 1
144,7-Jan-67,Warriors,Celtics,L,W,108,110,Warriors won 1
145,3-Jan-67,Warriors,Celtics,W,L,126,121,Celtics won 4
146,17-Dec-66,Warriors,Celtics,W,L,118,110,Celtics won 3
147,15-Oct-66,Celtics,Warriors,W,L,121,113,Celtics won 2
148,22-Feb-66,Warriors,Celtics,W,L,116,108,Celtics won 1
149,18-Feb-66,Warriors,Celtics,L,W,106,128,Warriors won 1
150,11-Feb-66,Celtics,Warriors,W,L,99,96,Celtics won 1
151,10-Feb-66,None,None,L,W,117,128,Warriors won 1
152,7-Feb-66,None,None,W,L,112,107,Celtics won 13
153,8-Jan-66,Warriors,Celtics,W,L,124,96,Celtics won 12
154,7-Jan-66,Warriors,Celtics,W,L,115,114,Celtics won 11
155,30-Dec-65,None,None,W,L,116,113,Celtics won 10
156,11-Dec-65,Celtics,Warriors,W,L,143,106,Celtics won 9
157,16-Nov-65,Warriors,Celtics,W,L,108,105,Celtics won 8
158,14-Mar-65,Celtics,Warriors,W,L,106,98,Celtics won 7
